ID,MainActivityType,InstallationOrAircraftOperatorID,InstallationNameOrAircraftOperatorCode,LatestComplianceCode,MainActivityTypeCode,PermitOrPlanID,AccountHolderName,PermitOrPlanDate,NationalAdministratorCode,NationalAdministrator,AMOwnershipFirstYear,AMOwnershipLastYear,FirstYearOfEmissions,LastYearOfEmissions,Address1,ZipCode,City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Latitude,Longitude,Link
BE117,Production of pig iron or steel,117,ARCELORMITTAL LIEGE - HFB OUGREE et HF SERAING  6,A,24,WAI309P146,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2012,place des Hauts-Fourneaux,4102,Ougrée,607901,665542,501589,151190,391465,339944,4670,,,,,,,,,,,,,,,,,,,50.6039503,5.5422622,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94184&action=all&languageCode=en&registryCode=BE
BE118,Production of pig iron or steel,118,ArcelorMittal Liège Upstream Train à bandes Cherta,A,24,WAI008P040,ArcelorMittal Belgium,2005-04-01,BE,Belgium,,,2005,2013,Pont de Wandre,4683,Vivegnis,132800,125011,163999,52847,130195,142255,98639,140,,,,,,,,,,,,,,,,,,50.6742315,5.6432623,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94185&action=all&languageCode=en&registryCode=BE
BE203912,Production of pig iron or steel,203912,ArcelorMittal Gent 1,A,24,VL201A,ArcelorMittal Belgium,2013-01-01,BE,Belgium,,,2013,2020,J. Kennedylaan 51,9042,Gent,,,,,,,,4053871,4053039,3987758,4528865,4373253,4461978,4329659,3462111,,,,,,,,,,,51.1836104,3.8313483,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=109273&action=all&languageCode=en&registryCode=BE
BE203913,Production of pig iron or steel,203913,ArcelorMittal Gent 2,A,24,VL201B,ArcelorMittal Belgium,2013-01-01,BE,Belgium,,,2013,2020,J. Kennedylaan 51,9042,Gent,,,,,,,,,,,,,,,,,,,,,,,,,,51.1836104,3.8313483,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=109272&action=all&languageCode=en&registryCode=BE
BE215060,Production of pig iron or steel,215060,ArcelorMittal Gent,A,24,VL201,ArcelorMittal Belgium,2021-01-01,BE,Belgium,,,2021,,J. Kennedylaan 51,9042,Gent,,,,,,,,,,,,,,,,3985551,,,,,,,,,,51.1836104,3.8313483,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=1547625&action=all&languageCode=en&registryCode=BE
CZ172,Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting,172,ArcelorMittal Ostrava - závod 12 - Vysoké pece,A,5,CZ-0268-05,Liberty Ostrava a.s.,2005-04-08,CZ,Czech Republic,,2018,2005,2011,Vratimovská 142,70702,Ostrava-Kunčice,1960096,2087275,,1167627,,,,,,,,,,,,,,,,,,,,,,49.7948034,18.30363,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=96256&action=all&languageCode=en&registryCode=CZ
CZ4,Combustion installations with a rated thermal input exceeding 20 MW,4,ArcelorMittal Tubular Products Karviná,A,1,CZ-0021-05,ArcelorMittal Tubular Products Karviná a.s.,2005-04-10,CZ,Czech Republic,,,2005,,Rudé armády 471,73323,Karviná,11835,10433,9547,7577,8811,7855,8352,7984,6730,5760,5780,4996,5430,3981,3843,4581,,,,,,,,,,49.8729669,18.5469583,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=96452&action=all&languageCode=en&registryCode=CZ
CZ24,Production of pig iron or steel,24,ArcelorMittal Frýdek-Místek,A,24,CZ-0053-05,Liberty Ostrava a.s.,2005-03-16,CZ,Czech Republic,,2017,2005,2017,Křižíkova 1377,73805,Frýdek-Místek,49934,45403,39056,39746,47559,38044,40284,50946,43716,43598,46437,12488,,,,,,,,,,,,,,49.6927395,18.332284,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=96485&action=all&languageCode=en&registryCode=CZ
FR485,Production of pig iron or steel,485,ArcelorMittal France- Florange,A,24,6201364,ARCELORMITTAL FRANCE,1996-04-09,FR,France,,,2005,,17 Allée des Tilleuls,57190,Florance,4737538,4321829,4154865,1657210,3095678,2472037,280855,530710,443623,245342,423646,255680,387818,324479,255222,271332,,,,,,,,,,49.3258346,6.1317195,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94399&action=all&languageCode=en&registryCode=FR
FR481,Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting,481,ARCELORMITTAL GANDRANGE,A,5,6201286,BERSILLON,1993-08-26,FR,France,,,2005,2010,Site Industriel de Gandrange,57175,Gandrange,236087,237800,179001,26110,23405,,,,,,,,,,,,,,,,,,,,,49.2713699,6.1326556,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94415&action=all&languageCode=en&registryCode=FR
FR34,Combustion of fuels,34,ArcelorMittal France- Montataire,A,20,5101363,ARCELORMITTAL FRANCE,1984-10-19,FR,France,,,2005,,Route de Saint Leu,60160,Montataire,71407,67830,61236,44905,54785,53921,48986,54897,60455,60906,68857,68912,65047,59828,42994,57160,,,,,,,,,,49.248517,2.4422248,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=94667&action=all&languageCode=en&registryCode=FR
FR956,Combustion of fuels,956,ArcelorMittal France- Dunkerque,A,20,7000956,ARCELORMITTAL FRANCE,1986-03-31,FR,France,,,2005,,Site de Dunkerque - Port 3031,59381,DUNKERQUE CEDEX 1,11578949,12059456,11261849,9162850,10174067,10671502,11229769,7859086,7731790,7213770,7280824,8186864,8052937,7467043,5851655,7274573,,,,,,,,,,51.0418464,2.3733285,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=95062&action=all&languageCode=en&registryCode=FR
FR955,Production of pig iron or steel,955,ArcelorMittal France- Mardyck,A,24,7000955,ARCELORMITTAL FRANCE,2003-10-27,FR,France,,,2005,,Site de Mardyck - 3081 Route de Spycker,59792,GRANDE SYNTHE CEDEX,27512,25334,22891,20257,15751,16211,16294,60731,65487,65007,67076,69536,63969,67452,59567,67840,,,,,,,,,,50.997345,2.29026,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=95066&action=all&languageCode=en&registryCode=FR
